# StepBroBD, Inc. | noc@stepbrobd.com | AS10779 | 2025-07-13T00:00:00Z
23.161.104.0/24,US,US-OR,Portland,97210
192.104.136.0/24,US,US-OR,Portland,97210
2620:be:a000::/48,US,US-OR,Portland,97210
# Toompea
23.161.104.128/32,EE,EE-37,Tallinn,10111
2620:be:a000::23:161:104:128/128,EE,EE-37,Tallinn,10111
# Highline
23.161.104.129/32,US,US-NY,New York City,10001
2620:be:a000::23:161:104:129/128,US,US-NY,New York City,10001
# Kongo
23.161.104.130/32,JP,JP-27,Osaka,540-0001
2620:be:a000::23:161:104:130/128,JP,JP-27,Osaka,540-0001
# Diablo - Retired
# 23.161.104.131/32,US,US-CA,San Jose,95119
# 2620:be:a000::23:161:104:131/128,US,US-CA,San Jose,95119
# Butte
23.161.104.132/32,FR,FR-IDF,Paris,75000
2620:be:a000::23:161:104:132/128,FR,FR-IDF,Paris,75000
